(*i).x    (*i).y    (*i).heading(*(i+1))    deg    (*i).yaw    deg-(*i).yaw
2951    3237    3.46334    198.435    5.4    13.0349
2950    3234    1.5708    90    343.8    73.8
2951    3234    0    0    352.8    172.8
2951    3234    0    0    352.8    172.8
2951    3234    2.79282    160.017    352.8    12.7831
2959    3212    2.35619    135    178    137
2962    3209    0    0    230.9    50.9
2962    3209    4.01765    230.194    230.9    179.294
2956    3204    0.500668    28.6861    306.7    98.0139
3014    3310    1.7516    100.359    290    9.64095
3107    3293    3.22614    184.844    171.5    166.656
3097    3175    3.43144    196.607    133.7    117.093
3063    3061    3.57167    204.642    125.5    100.858
3013    2952    4.07262    233.344    118    64.6561
2927    2888    5.29513    303.389    59.1    64.2885
2839    2946    0.341247    19.552    341.1    141.548
2877    3053    0.80294    46.0051    291.9    65.8949
2964    3137    0.620249    35.5377    284.4    68.8623
3034    3235    0.304992    17.4748    302.4    104.925
3068    3343    0.143083    8.19807    316.6    128.402
3085    3461    0.440306    25.2276    317.6    112.372
3134    3565    1.86585    106.905    265.6    21.3052
3236    3534    3.06416    175.564    179.8    175.764
3245    3418    3.48134    199.466    135.1    115.634
3204    3302    3.67628    210.635    120.2    89.5646
3143    3199    3.68933    211.383    115.9    84.5168
3082    3099    3.65638    209.495    117.2    87.705
3026    3000    3.62447    207.667    118.3    90.6332
2972    2897    3.52675    202.068    121.2    99.1321
2927    2786    3.53638    202.62    128.2    105.58
2882    2678    4.43039    253.843    106    32.1573
2775    2647    5.65855    324.211    44.7    99.511
2713    2733    0.531273    30.4397    324.8    114.36
2770    2830    0.677386    38.8114    284.4    65.5886
2844    2922    0.482164    27.626    294.7    87.074
2900    3029    0.570805    32.7047    299.6    86.8953
2961    3124    0.5451    31.2319    290.1    78.8681
3018    3218    0.0512372    2.93567    311.5    128.564
3024    3335    0.0961934    5.51148    327    141.489
3035    3449    0.541999    31.0543    318.4    107.346
3091    3542    2.13038    122.062    254.7    47.3619
3182    3485    3.12358    178.968    166.6    167.632
3184    3374    3.29223    188.631    140.3    131.669
3167    3262    3.35087    191.991    136.3    124.309
3143    3149    3.36394    192.74    134.6    121.86
3117    3034    3.41017    195.388    133.6    118.212
