(*i).x    (*i).y    (*i).heading(*(i+1))    deg    (*i).yaw    deg-(*i).yaw
0    6287    0    0    331.3    151.3
0    6287    0    0    338.7    158.7
0    6287    1    57.2958    342.3    105.004
0    6286    0    0    357.5    177.5
0    6286    0.0416426    2.38594    357.5    175.114
1    6310    1    57.2958    173    64.2958
1    6287    1.65286    94.7022    62.8    148.098
14347    5107    2.02641    116.105    231.3    64.8049
14447    5058    2.7738    158.927    189.1    149.827
14489    4949    3.47668    199.199    148.7    129.501
14450    4837    4.15379    237.995    109.3    51.3054
14354    4777    4.85814    278.351    70.3    28.0508
14245    4793    5.59426    320.528    26.1    114.428
14175    4878    5.35233    306.666    2.8    123.866
14085    4945    4.92348    282.095    32.8    69.2948
13973    4969    4.65412    266.662    55.3    31.3615
13853    4962    4.53872    260.049    64.5    15.5494
13739    4942    4.51007    258.408    67.7    10.7078
13622    4918    4.49372    257.471    69    8.47119
13505    4892    4.50012    257.838    69.1    8.7378
13389    4867    4.50012    257.838    68.8    9.0378
13273    4842    4.50311    258.009    68.7    9.30917
13160    4818    4.50311    258.009    68.7    9.30917
13047    4794    4.5013    257.905    68.9    9.00524
12935    4770    4.5013    257.905    68.8    9.10524
12823    4746    4.50985    258.395    68.9    9.49524
12711    4723    4.49945    257.8    68.8    8.99953
12600    4699    4.49466    257.525    69.1    8.42489
12487    4674    4.50627    258.19    69.6    8.59012
12377    4651    4.51174    258.503    68.8    9.70344
12259    4627    4.49552    257.574    68.6    8.97406
12141    4601    4.50807    258.294    68.9    9.39356
12030    4578    4.50311    258.009    68.7    9.30917
11917    4554    4.50311    258.009    69.4    8.60917
11804    4530    4.49466    257.525    69    8.52489
11691    4505    4.50985    258.395    69.4    8.99524
11579    4482    4.50311    258.009    68.9    9.10917
11466    4458    4.49945    257.8    68.7    9.09953
11355    4434    4.49945    257.8    69.2    8.59953
11244    4410    4.5013    257.905    69.1    8.80524
11132    4386    4.50985    258.395    68.7    9.69524
11020    4363    4.5013    257.905    69.4    8.50524
10908    4339    4.5013    257.905    68.7    9.20524
10796    4315    4.50489    258.111    69    9.11134
10682    4291    4.50489    258.111    69.4    8.71134
10568    4267    4.50837    258.311    68.6    9.71063
10452    4243    4.50012    257.838    69    8.8378
10336    4218    4.50837    258.311    68.3    10.0106
10220    4194    4.51007    258.408    69.4    9.00782
10103    4170    4.50188    257.939    68.5    9.43869
9986    4145    4.50188    257.939    68.9    9.03869
9869    4120    4.50361    258.038    68.8    9.23795
9751    4095    4.50012    257.838    68.7    9.1378
9635    4070    4.50837    258.311    69.2    9.11063
9519    4046    4.50837    258.311    68.4    9.91063
9403    4022    4.49833    257.735    68.8    8.93523
9288    3997    4.50837    258.311    69.3    9.01063
9172    3973    4.50837    258.311    68.8    9.51063
9056    3949    4.49651    257.631    68.8    8.83094
